ID,Event,Event Type,Start Date,End Date,Schedule,Neighborhood,Address,Notes,Tickets Link
135,Solomun,Party,12/6/2025,12/6/2025,11PM - 11AM,Downtown,"34 NE 11th St, Miami, FL 33132",,https://dice.fm/event/q2a5la-solomun-space-basel-2025-6th-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1U8ySzZMTktNMbZISrUvyEyxtbRMSTJKNDdQqytKTUstKsrMS49PKsovL04tsnXOKMrPTQUAO1GqNkgAAAA%3D
136,Solomun,Party,12/5/2025,12/5/2025,9PM - 7AM,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://dice.fm/event/mx523l-factory-basel-2025-friday-pass-5th-dec-factory-town-miami-tickets
137,Spectrum Miami,Art Show,12/4/2025,12/6/2025,12PM - 8PM,Wynwood,"Mana Wynwood, 2217 NW 5th Avenue, NW 22nd St, Miami, FL 33127",,https://redwoodartgroup.com/spectrum-miami
138,Spectrum Miami,Art Show,12/7/2025,12/7/2025,12PM - 6PM,Wynwood,"Mana Wynwood, 2217 NW 5th Avenue, NW 22nd St, Miami, FL 33127",,https://redwoodartgroup.com/spectrum-miami
139,Spectrum Miami: Opening Night,Art Show,12/3/2025,12/3/2025,6PM - 9PM,Wynwood,"Mana Wynwood, 2217 NW 5th Avenue, NW 22nd St, Miami, FL 33127",,https://redwoodartgroup.com/spectrum-miami
140,Spectrum Miami: VIP & Press Preview,Art Show,12/3/2025,12/3/2025,5PM - 6PM,Wynwood,"Mana Wynwood, 2217 NW 5th Avenue, NW 22nd St, Miami, FL 33127",,https://redwoodartgroup.com/spectrum-miami
141,Stellar House Miami,Party,12/4/2025,12/4/2025,10:30AM - 10:30PM,Wynwood,"The M Building 194 NW 30th St, Miami, FL 33127, USA",,https://lu.ma/stellarhousemiami
142,Strawberry Moon,Party,12/5/2025,12/6/2025,12PM - 6PM,Miami Beach,"601 Washington Avenue, Miami Beach, FL 33139",,https://www.thegoodtimehotel.com/eventcalendar/
143,Tala Beach,Party,,,,Miami Beach,"2341 Collins Avenue, Miami Beach, FL 33139",,https://www.1hotels.com/south-beach/taste/tala-beach
144,"Tehmplo: WhoMadeWho, Maxi Meraki, Deer Jade",Party,12/4/2025,12/4/2025,8PM - 4AM,Wynwood,"150 NW 21st Miami,FL 33127",,https://posh.vip/e/tehmplo
145,Tehmplo Tulum,Party,12/4/2025,12/4/2025,8PM - 4AM,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://linktr.ee/phase3?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4CGNhbGxzaXRlAjE1AAGnR7Ewc1RzLlQSdVxJIo01wbcHtzMrAyPFLJB3SwWTKHFdUm0KkCZjcwN1WBk_aem_GpFTGN3B-RMYGmBPaSxJrw
146,The $25 Art Show: Closing Day Show,Art Show ,12/7/2025,12/7/2025,12PM - 6PM,Wynwood,"Toe Jam Backlot (Wynwood) 150 NW 21st Street, Miami, Fl, 33127",,https://toejambacklot.com/events/25-dollar-art-show/
147,The $25 Art Show: Day Show ,Art Show ,12/5/2025,12/5/2025,2PM - 6PM,Wynwood,"Toe Jam Backlot (Wynwood) 150 NW 21st Street, Miami, Fl, 33127",,https://toejambacklot.com/events/25-dollar-art-show/
148,The Brave New Earth @ Ritz-Carlton,Art Show,12/3/2025,12/7/2025,12PM - 7PM,Miami Beach,"The Ritz Carlton South Beach - 1 Lincoln Rd, Miami Beach, FL 33139",,https://posh.vip/e/the-brave-new-earth-ritzcarlton-south-beachofficial-art-basel-2025
149,The Coffee Party,Party,12/6/2025,12/6/2025,10AM - 3PM,Miami Beach,"2341 Collins Avenue, Miami Beach, FL 33139",,https://admitone.com/events/miami%20beach/community/party/miami-art-week-the-coffee-party/170BUC
150,The Ethereal Runway Show + Live Art + Live Music,Art Show,12/5/2025,12/5/2025,6PM - 9PM,Brickell,"Flow Brickell - 275 SW 6th St, 9 Floor, Miami, FL 33130",,https://luma.com/21ivstt6
151,The King*s Exhibition,Art Show,12/7/2025,12/7/2025,12PM - 12AM,Miami Beach,"Sagamore Hotel South Beach - An All Suite Hotel, The Sagamore, 1671 Collins Ave, Miami Beach, FL 33139, USA",,https://luma.com/ha35a84h
